@relation ProteinFoldsPFRES

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEC numeric
@attribute adssCEE numeric
@attribute adssCEH numeric
@attribute adssCHC numeric
@attribute adssCHE numeric
@attribute adssCHH numeric
@attribute adssECC numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEEH numeric
@attribute adssEHC numeric
@attribute adssEHE numeric
@attribute adssEHH numeric
@attribute adssHCC numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute adssHEE numeric
@attribute adssHEH numeric
@attribute adssHHC numeric
@attribute adssHHE numeric
@attribute adssHHH numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
4,8,7,4,0,5,9,25,5,14,6,4,8,5,43,12,20,3,4,13,0.4149,0.5851,0,3,6,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,g
0,11,5,4,12,16,22,18,9,8,9,9,4,2,16,20,18,3,13,22,0.4673,0.5327,0,3,8,0,0,0,0,1,1,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107,g
10,14,0,20,6,7,12,8,0,21,19,17,7,4,20,12,4,0,0,16,0.4855,0.1739,0.3406,5,4,2,0,0,1,1,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,138,r
21,30,10,20,10,15,22,11,6,7,2,12,6,23,5,3,1,6,15,6,0.4621,0.1477,0.3902,7,3,8,0,0,1,1,0,0,2,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,2,0,0,264,p
18,16,9,45,0,4,37,6,4,3,1,13,11,8,11,2,1,0,13,3,0.5352,0.1972,0.2676,5,3,4,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,142,z
11,12,10,26,1,14,19,0,9,4,7,12,6,13,22,13,23,18,20,3,0.6361,0.0802,0.2837,9,4,7,0,0,1,1,0,0,3,3,0,0,0,4,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,349,p
15,1,6,26,2,10,13,9,3,16,5,24,11,10,9,20,16,2,12,19,0.3684,0.3421,0.2895,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,76,z
11,21,7,13,7,11,14,7,27,20,23,9,9,13,8,3,7,0,8,16,0.4755,0.1168,0.4076,8,3,11,0,0,0,1,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,1,3,2,0,0,3,1,0,368,p
12,7,23,6,0,9,11,13,1,4,0,11,0,13,18,12,12,13,24,18,0.6272,0.1243,0.2486,9,5,5,0,1,1,2,0,1,2,2,0,1,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,346,p
5,42,5,12,0,17,24,0,9,2,7,41,2,3,9,6,9,18,2,6,0.4848,0,0.5152,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,66,c
13,29,6,3,3,16,7,4,21,14,13,24,11,0,15,13,9,3,0,7,0.5325,0,0.4675,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,77,c
7,21,13,14,9,23,27,4,9,7,14,18,14,16,16,3,0,23,15,10,0.3846,0,0.6154,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,65,c
13,17,10,8,1,7,28,8,10,25,6,17,11,21,15,1,6,1,11,18,0.4158,0.3069,0.2772,3,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,101,z
16,17,7,19,2,10,12,8,4,24,16,15,7,1,2,10,16,0,8,23,0.5185,0.1556,0.3259,2,3,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,135,s
9,17,14,16,2,8,13,14,19,14,10,6,1,9,12,8,21,6,18,16,0.4133,0.1587,0.428,8,7,10,0,0,1,1,0,0,0,3,2,0,0,4,1,1,0,1,0,0,1,1,1,2,0,1,2,0,1,271,w
9,18,14,13,0,31,43,2,7,5,0,25,6,1,5,10,15,0,0,10,0.3297,0.033,0.6374,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,91,c
13,5,4,17,0,10,12,20,3,17,25,5,12,4,6,19,7,0,9,14,0.4246,0.1285,0.4469,5,3,5,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,179,r
10,7,10,2,0,6,3,7,15,9,5,5,6,16,25,24,38,2,7,9,0.5115,0.2443,0.2443,6,3,2,0,0,0,3,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131,z
12,8,18,24,0,37,12,8,0,14,8,14,7,16,24,12,9,0,3,12,0.5,0.4118,0.0882,5,7,1,0,0,0,0,2,0,1,0,0,0,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,170,o
1,22,8,2,0,12,8,0,9,25,14,13,15,0,8,4,8,0,1,22,0.35,0,0.65,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60,c
23,2,6,4,0,12,7,6,1,11,4,5,5,2,24,18,14,2,8,12,0.3333,0.2917,0.375,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,96,z
11,8,8,3,0,19,15,6,0,15,14,6,11,14,7,9,21,1,5,9,0.4757,0.3107,0.2136,4,3,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103,z
12,6,3,10,1,31,7,14,0,11,13,0,21,9,12,8,21,0,0,12,0.4811,0.2358,0.283,4,4,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,106,z
12,6,14,18,0,14,11,31,11,5,10,6,5,16,0,7,9,1,5,3,0.5258,0.1753,0.299,5,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,97,z
3,31,9,13,0,13,13,6,5,9,9,24,4,14,8,6,0,10,6,12,0.5018,0.0903,0.4079,19,5,20,0,0,2,3,0,1,8,1,3,1,1,2,0,0,0,1,0,0,1,3,8,1,0,0,3,0,3,554,p
20,24,4,3,4,5,21,6,18,8,18,4,4,20,0,1,5,0,13,10,0.2841,0,0.7159,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,88,c
6,7,18,9,45,9,12,0,18,4,2,3,1,7,0,20,12,1,7,3,0.6154,0.3846,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-
4,5,10,14,17,12,17,5,4,9,12,9,6,24,26,14,8,6,10,9,0.4818,0.2701,0.2482,5,5,1,0,0,0,2,1,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,l
13,2,26,7,0,3,4,14,14,12,11,7,25,0,16,5,6,0,0,12,0.5238,0.0918,0.3844,11,2,8,0,0,1,1,0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,294,p
30,2,3,11,2,4,9,14,19,6,12,2,9,25,6,14,16,12,22,5,0.3765,0.1765,0.4471,5,4,6,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,0,1,1,0,0,170,s
13,13,1,1,3,9,9,6,13,4,7,6,18,5,40,21,12,6,9,1,0.4899,0.094,0.4161,9,2,11,0,0,1,0,0,0,5,1,2,0,0,1,0,0,0,0,1,0,1,0,5,1,0,1,1,0,0,298,p
7,14,12,18,0,22,19,1,2,11,26,23,19,7,0,5,7,0,11,5,0.3846,0.2308,0.3846,4,4,4,0,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,117,u
5,0,9,32,0,13,19,0,0,12,16,12,7,8,8,13,4,5,1,26,0.3679,0.2547,0.3774,3,4,3,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,106,u
6,10,2,4,6,4,10,22,0,17,8,9,11,8,20,22,19,0,12,21,0.3737,0.1919,0.4343,3,2,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,99,u
7,15,3,0,0,12,3,6,2,17,22,12,19,17,4,12,13,4,17,10,0.2069,0.0603,0.7328,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,116,c
2,20,16,6,12,20,7,5,6,18,12,23,14,26,2,7,7,3,16,13,0.5192,0.4808,0,5,11,0,0,0,0,1,3,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,156,m
10,20,9,15,1,8,14,21,24,14,9,7,0,16,0,6,21,6,25,14,0.4307,0.1685,0.4007,9,7,8,0,1,1,1,0,0,1,3,1,0,0,4,1,1,0,1,0,0,2,0,1,2,0,1,1,0,0,267,w
9,11,9,16,0,10,12,0,1,25,10,17,10,7,0,7,11,2,16,19,0.2473,0,0.7527,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,93,c
9,25,4,10,6,11,12,17,8,12,15,20,9,12,6,2,13,0,7,7,0.5127,0.0878,0.3994,12,2,9,1,0,4,0,0,0,6,0,1,1,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,1,353,p
3,9,14,11,0,8,19,10,2,16,12,16,15,17,11,5,14,13,17,13,0.5253,0.1673,0.3074,9,7,6,0,1,0,2,0,0,2,3,0,1,1,4,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,257,w
0,13,23,2,0,6,10,16,15,18,32,7,12,0,17,0,4,0,0,14,0.4268,0.1592,0.414,3,4,4,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,157,r
20,10,6,9,13,15,5,15,2,2,7,7,5,10,22,19,8,7,15,4,0.6575,0.3425,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,k
5,10,2,6,27,13,9,4,1,7,2,14,5,14,16,12,11,11,12,7,0.5714,0.2,0.2286,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-
4,22,13,4,2,13,11,0,14,8,5,22,7,30,11,12,13,12,26,8,0.4745,0.3776,0.148,9,9,3,0,2,0,4,2,1,0,0,0,1,4,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,196,i
3,5,8,10,1,22,13,2,18,15,7,7,13,9,18,6,16,3,12,11,0.6326,0.3674,0,9,7,0,1,3,0,4,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,i
7,8,16,24,1,8,18,1,21,6,26,11,19,25,2,6,14,1,21,2,0.4556,0.0422,0.5022,15,3,17,0,0,1,0,0,0,10,2,2,0,0,2,0,0,0,1,0,0,1,0,10,2,0,1,0,1,0,450,p
36,32,1,12,1,20,15,9,11,4,5,11,3,9,16,5,1,0,1,5,0.4893,0.133,0.3777,9,3,9,0,1,1,1,0,0,3,1,1,0,0,2,0,0,0,1,0,0,1,0,3,1,0,1,0,1,1,233,p
5,37,9,10,0,20,23,3,9,15,21,24,20,2,0,8,6,3,2,2,0.3438,0.1094,0.5469,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,c
8,10,9,38,2,6,15,2,34,10,10,4,13,21,5,3,10,3,16,1,0.471,0.1158,0.4131,7,3,9,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,259,p
21,9,10,16,5,0,2,12,22,9,25,0,24,15,4,6,17,0,7,8,0.4786,0.1036,0.4179,12,3,9,0,0,2,1,0,1,5,1,1,0,0,2,0,0,0,1,0,0,2,2,2,1,0,0,1,0,0,280,p
16,11,8,4,0,10,6,9,3,22,19,11,20,0,8,13,10,0,0,8,0.6081,0.0541,0.3378,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,74,c
13,13,7,13,0,16,4,6,1,12,9,6,10,1,25,20,18,4,0,6,0.6461,0.1687,0.1852,12,4,3,3,2,1,2,1,0,2,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,243,z
15,2,5,14,40,3,10,6,2,2,4,6,2,4,16,15,6,14,9,1,0.7568,0.2432,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-
15,2,10,12,17,6,15,4,9,16,10,2,23,11,10,14,22,2,18,25,0.3119,0.3486,0.3394,2,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,109,z
10,8,8,13,0,5,13,6,11,16,14,16,6,25,11,6,9,18,12,18,0.3303,0,0.6697,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,109,a
5,7,11,16,9,8,24,7,8,15,7,11,1,19,14,4,21,0,8,15,0.5243,0.3592,0.1165,3,5,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,103,y
12,20,0,0,0,7,14,1,3,19,13,8,14,12,27,6,1,0,7,23,0.4789,0.2113,0.3099,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71,z
2,19,16,29,0,14,18,0,4,6,16,26,5,0,0,18,8,0,0,8,0.4403,0.1101,0.4497,10,3,9,0,0,1,1,1,0,5,0,1,0,0,1,1,0,0,0,0,0,1,2,4,0,0,0,2,0,0,318,t
12,8,20,16,2,10,15,9,6,21,7,20,13,21,8,14,12,11,8,3,0.3919,0.5135,0.0946,4,8,1,0,1,0,1,2,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,148,g
7,13,30,7,11,8,7,22,8,0,11,3,16,11,18,6,11,26,3,1,0.6473,0.0411,0.3116,7,1,7,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,292,p
